Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
123,28,8,19,4,Some Random Commen with Id 123
124,28,8,9,1,Some Random Commen with Id 124
125,28,8,153,4,Some Random Commen with Id 125
126,28,8,57,8,Some Random Commen with Id 126
127,28,8,120,4,Some Random Commen with Id 127
128,29,4,73,5,Some Random Commen with Id 128
129,29,4,197,6,Some Random Commen with Id 129
130,29,4,84,2,Some Random Commen with Id 130
131,29,4,18,7,Some Random Commen with Id 131
132,29,4,84,8,Some Random Commen with Id 132
133,29,4,182,7,Some Random Commen with Id 133
134,29,4,166,1,Some Random Commen with Id 134
135,30,3,23,9,Some Random Commen with Id 135
136,30,3,141,3,Some Random Commen with Id 136
137,30,3,141,8,Some Random Commen with Id 137
138,31,5,126,1,Some Random Commen with Id 138
139,31,5,144,5,Some Random Commen with Id 139
140,31,5,53,3,Some Random Commen with Id 140
141,31,5,149,2,Some Random Commen with Id 141
142,31,5,107,2,Some Random Commen with Id 142
143,31,5,36,1,Some Random Commen with Id 143
144,32,3,134,8,Some Random Commen with Id 144
145,32,3,196,9,Some Random Commen with Id 145
146,32,3,41,1,Some Random Commen with Id 146
147,32,3,90,0,Some Random Commen with Id 147
148,32,3,127,2,Some Random Commen with Id 148
149,32,3,112,1,Some Random Commen with Id 149
150,33,0,174,7,Some Random Commen with Id 150
151,33,0,195,7,Some Random Commen with Id 151
152,33,0,122,2,Some Random Commen with Id 152
153,33,0,10,3,Some Random Commen with Id 153
154,33,0,1,2,Some Random Commen with Id 154
155,34,7,188,0,Some Random Commen with Id 155
156,34,7,31,9,Some Random Commen with Id 156
157,34,7,111,2,Some Random Commen with Id 157
158,34,7,98,2,Some Random Commen with Id 158
159,34,7,165,6,Some Random Commen with Id 159
160,34,7,89,1,Some Random Commen with Id 160
161,34,7,95,9,Some Random Commen with Id 161
162,34,7,86,1,Some Random Commen with Id 162
163,34,7,195,6,Some Random Commen with Id 163
164,35,9,89,1,Some Random Commen with Id 164
165,35,9,108,6,Some Random Commen with Id 165
166,35,9,177,4,Some Random Commen with Id 166
167,35,9,137,1,Some Random Commen with Id 167
168,35,9,104,9,Some Random Commen with Id 168
169,36,1,26,9,Some Random Commen with Id 169
170,36,1,104,9,Some Random Commen with Id 170
171,36,1,153,2,Some Random Commen with Id 171
172,36,1,114,1,Some Random Commen with Id 172
173,36,1,171,0,Some Random Commen with Id 173
174,36,1,1,9,Some Random Commen with Id 174
175,36,1,74,4,Some Random Commen with Id 175
176,36,1,89,2,Some Random Commen with Id 176
177,36,1,20,9,Some Random Commen with Id 177
178,38,7,100,9,Some Random Commen with Id 178
179,38,7,79,8,Some Random Commen with Id 179
180,38,7,35,5,Some Random Commen with Id 180
181,38,7,31,8,Some Random Commen with Id 181
182,38,7,151,1,Some Random Commen with Id 182
